Date,Occupancy,Temp_C,Energy_kWh,Cost_CAD
2015-01-01,124,-9.1,5786.67,868.0
2015-01-02,113,-5.4,5564.4,834.66
2015-01-03,124,-4.7,5274.56,791.18
2015-01-04,136,-6.2,5482.58,822.39
2015-01-05,108,-14.7,5649.62,847.44
2015-01-06,107,-5.9,5194.45,779.17
2015-01-07,133,2.2,5250.51,787.58
2015-01-08,119,-8.2,5246.21,786.93
2015-01-09,100,-9.8,5242.24,786.34
2015-01-10,114,-5.5,5594.31,839.15
2015-01-11,97,-5.8,5061.21,759.18
2015-01-12,96,-2.4,5222.3,783.35
2015-01-13,106,-12.3,5639.28,845.89
2015-01-14,72,-4.4,4603.37,690.51
2015-01-15,74,-5.1,5020.05,753.01
2015-01-16,90,-8.1,5210.35,781.55
2015-01-17,83,-6.2,5002.78,750.42
2015-01-18,101,-3.5,5175.43,776.31
2015-01-19,82,-4.2,5041.35,756.2
2015-01-20,74,-12.3,5357.5,803.63
2015-01-21,116,-4.5,5517.94,827.69
2015-01-22,89,-8.1,5280.17,792.03
2015-01-23,93,-7.6,5031.58,754.74
2015-01-24,70,-7.6,4926.81,739.02
2015-01-25,82,-8.5,5606.79,841.02
2015-01-26,91,-3.2,5127.98,769.2
2015-01-27,71,-8.3,5395.05,809.26
2015-01-28,93,-12.5,5666.97,850.04
2015-01-29,78,-9.6,5206.04,780.91
2015-01-30,82,-7.3,5154.04,773.11
2015-01-31,76,-3.1,4851.07,727.66
2015-02-01,112,-5.6,5086.16,762.92
2015-02-02,84,-11.4,5316.54,797.48
2015-02-03,67,2.0,4715.6,707.34
2015-02-04,95,-6.9,5136.59,770.49
2015-02-05,64,-2.8,4779.54,716.93
2015-02-06,84,-8.5,5310.75,796.61
2015-02-07,60,-5.7,4669.39,700.41
2015-02-08,60,-4.4,4680.95,702.14
2015-02-09,83,-2.8,4766.96,715.04
2015-02-10,90,-3.4,4896.21,734.43
2015-02-11,81,-4.1,4762.42,714.36
2015-02-12,76,-8.8,4978.67,746.8
2015-02-13,73,-9.7,5338.08,800.71
2015-02-14,60,-6.1,4685.06,702.76
2015-02-15,66,-3.6,4792.52,718.88
2015-02-16,70,-8.1,4944.21,741.63
2015-02-17,92,-2.9,5191.45,778.72
2015-02-18,81,-1.2,5021.64,753.25
2015-02-19,60,-10.6,5155.83,773.37
2015-02-20,80,-10.2,5262.97,789.45
2015-02-21,70,-7.3,4946.92,742.04
2015-02-22,65,-5.3,4664.34,699.65
2015-02-23,84,-8.6,5478.4,821.76
2015-02-24,90,-0.9,4792.33,718.85
2015-02-25,89,-4.5,5156.42,773.46
2015-02-26,62,-5.9,4995.34,749.3
2015-02-27,70,-11.7,5096.27,764.44
2015-02-28,79,-11.0,5401.52,810.23
